Theme,Topic,Origin,Reverse,Questions,Target,Flattened Target,Thai,
,,M,FALSE,"Analyzes a complex situation carefully, then reduces it to its simplest terms in searching for a solution.",,Mid-level/Senior Managers,วิเคราะห์สถานการณ์ที่ซับซ้อนได้อย่างละเอียด และย่อยให้เข้าใจง่ายเพื่อหาทางแก้ไข,
,,M,FALSE,"Learns from the mistakes of higher management (i.e., does not repeat them him/herself).",,Mid-level/Senior Managers,เรียนรู้จากข้อผิดพลาดของฝ่ายบริหารระดับสูง (เพื่อไม่ให้เกิดความผิดพลาดซ้ำรอย),
,,M,FALSE,Has solid working relationships with higher management.,,Mid-level/Senior Managers,มีความสัมพันธ์ในการทำงานที่แน่นแฟ้นกับผู้บริหารระดับสูง,
,Being a Quick Study,M,FALSE,Quickly masters new technical knowledge necessary to do the job.,No,No,เรียนรู้ความรู้ทางเทคนิคใหม่ ๆ ที่จำเป็นต่อการทำงานได้อย่างรวดเร็ว,
,,M,FALSE,Quickly masters new vocabulary and operating rules needed to understand how the business works.,,No,ทำความเข้าใจคำศัพท์เฉพาะและกฎเกณฑ์ทางธุรกิจใหม่ ๆ ได้อย่างรวดเร็ว,
,,M,FALSE,Learns a new skill quickly.,,No,เรียนรู้ทักษะใหม่ได้ไว,
,Results Orientation,E,FALSE,Assigns clear accountability for important objectives.,Executive,Executive,มอบหมายและกำหนดผู้รับผิดชอบในเป้าหมายสำคัญต่าง ๆ ได้อย่างชัดเจน,
,,E,FALSE,Pushes the organization to address the concerns of key stakeholders.,,Executive,ผลักดันองค์กรให้รับมือกับความกังวลของผู้มีส่วนได้ส่วนเสียและฝ่ายสำคัญที่เกี่ยวข้อง,
,,E,FALSE,"Clearly conveys objectives, deadlines, and expectations.",,Executive,สื่อสารเป้าหมาย กำหนดกรอบเวลา และความคาดหวังอย่างชัดเจน,
,,E,FALSE,Holds self accountable for meeting commitments.,,Executive,ยึดมั่นและรับผิดชอบต่อคำมั่นสัญญาที่ให้ไว้,
,,E,FALSE,Aligns organizational resources to accomplish key objectives.,,Executive,จัดสรรทรัพยากรขององค์กรให้สอดคล้องกับการบรรลุเป้าหมายสำคัญ,
,,E,FALSE,Acts with a sense of urgency.,,Executive,ปฏิบัติงานด้วยความกระตือรือร้นและรวดเร็ว,
,Decisiveness,M,FALSE,Does not hesitate when making decisions.,Mid-level/Senior Managers,Mid-level/Senior Managers,ตัดสินใจได้ทันท่วงที ไม่ลังเลใจ,
,,M,FALSE,Does not become paralyzed or overwhelmed when facing action.,,Mid-level/Senior Managers,ไม่หยุดชะงักหรือลนลานเมื่อต้องเผชิญหน้ากับสถานการณ์ที่ต้องลงมือทำทันที,
,,M,FALSE,Is action-oriented.,,Mid-level/Senior Managers,เน้นการลงมือปฏิบัติจริง (Action-oriented),
,Sound judgment,E,FALSE,Sees underlying concepts and patterns in complex situations.,Executive,Executive,อ่านสถานการณ์ที่ซับซ้อนออก สามารถมองทะลุถึงแก่นและความเชื่อมโยงของปัญหา,
,,E,FALSE,Gives appropriate weight to the concerns of key stakeholders.,,Executive,รับฟังและให้ความสำคัญกับความกังวลของผู้มีส่วนได้ส่วนเสีย และคนที่เกี่ยวข้องอย่างเหมาะสม,
,,E,FALSE,Readily grasps the crux of an issue despite having ambiguous information.,,Executive,เข้าใจแก่นของปัญหาได้รวดเร็ว แม้สถานการณ์ยังคลุมเครือ,
,,E,FALSE,Makes effective decisions in a timely manner.,,Executive,ตัดสินใจได้อย่างมีประสิทธิภาพและทันต่อสถานการณ์,
,,E,FALSE,Accurately differentiates between important and unimportant issues.,,Executive,รู้ชัดว่าเรื่องไหนควรให้ความสำคัญและเรื่องไหนวางไว้ก่อนได้,
,,E,FALSE,Develops solutions that effectively address underlying problems.,,Executive,คิดหาแนวทางแก้ปัญหาที่ตอบโจทย์ต้นตอของปัญหาได้จริง,
,Change Management,M,FALSE,Leads change by example.,No,No,,
,,M,FALSE,Accepts change as positive.,,No,,
,,M,FALSE,Adapts plans as necessary.,,No,,
,,M,FALSE,Takes into account peoples' concerns during change.,,No,,
,,M,FALSE,Effectively involves key people in the design and implementation of change.,,No,,
,,M,FALSE,Adjusts management style to changing situations.,,No,,
,,M,FALSE,Effectively manages others' resistance to organizational change.,,No,,
,,M,FALSE,Adapts to the changing external pressures facing the organization.,,No,,
,,M,FALSE,Is straightforward with individuals about consequences of an expected action or decision.,,No,,
Leading Others,Developing and Empowering,E,FALSE,Delegates work that provides substantial responsibility and visibility.,Executive,Executive,มอบหมายงานที่ท้าทายและช่วยให้ทีมงานได้มีโอกาสแสดงฝีมือ,
,,E,FALSE,"Acts as a mentor, helping others to develop and advance in their careers.",,Executive,ทำหน้าที่เป็นพี่เลี้ยง ช่วยพัฒนาและสนับสนุนความก้าวหน้าในอาชีพของผู้อื่น,
,,E,FALSE,Supports the decisions and actions of direct reports.,,Executive,สนับสนุนการตัดสินใจและการกระทำของลูกน้อง,
,,E,FALSE,Utilizes others' capabilities appropriately.,,Executive,ดึงเอาความสามารถและศักยภาพของคนอื่นมาใช้ได้อย่างเหมาะสมกับงาน,
,,E,FALSE,Develops staff through constructive feedback and encouragement.,,Executive,พัฒนาพนักงานผ่านการให้ฟีดแบ็ก (Feedback) เชิงสร้างสรรค์และการให้กำลังใจ,
,,E,FALSE,Encourages individual initiative in determining how to achieve broad goals.,,Executive,ส่งเสริมให้ทีมงานคิดริเริ่มหาวิธีบรรลุเป้าหมายใหญ่ ๆ ด้วยตนเอง,
,Inspiring commitment,E,FALSE,Rallies support throughout the organization to get things done.,Executive,Executive,ระดมความร่วมมือจากทุกส่วนขององค์กรเพื่อขับเคลื่อนงานให้สำเร็จ,
,,E,FALSE,Publicly praises others for their performance.,,Executive,ยกย่องชมเชยคนที่ทำผลงานได้ดี ต่อหน้าธารกำนัล,
,,E,FALSE,Infuses the organization with a sense of purpose.,,Executive,ทำให้คนรู้สึกว่าองค์กรมีทิศทางและเป้าหมายที่ชัดเจน,
,,E,FALSE,Understands what motivates other people to perform at their best.,,Executive,รู้ว่าอะไรทำให้แต่ละคนอยากทุ่มเททำงานให้ดีที่สุด,
,,E,FALSE,Provides tangible rewards for significant organizational achievements.,,Executive,ให้รางวัลกับคนที่ทำผลงานสำคัญให้กับองค์กรได้สำเร็จ,
,Leading Employees,M,FALSE,"Is willing to delegate important tasks, not just things he/she doesn't want to do.",Mid-level/Senior Managers,Mid-level/Senior Managers,พร้อมมอบหมายงานที่สำคัญ ไม่ใช่แค่โยนงานที่ตัวเองไม่อยากทำ,
,,M,FALSE,"Provides prompt feedback, both positive and negative.",,Mid-level/Senior Managers,ให้ฟีดแบ็ก (Feedback) อย่างรวดเร็วและสม่ำเสมอ ทั้งคำชมและสิ่งที่ต้องปรับปรุง,
,,M,FALSE,Pushes decision making to the lowest appropriate level and develops employees' confidence in their ability to make those decisions.,,Mid-level/Senior Managers,กระจายอำนาจการตัดสินใจลงไปสู่ระดับที่เหมาะสม และสร้างความมั่นใจให้ลูกน้องกล้าตัดสินใจเอง,
,,M,FALSE,Acts fairly and does not play favorites.,,Mid-level/Senior Managers,ปฏิบัติต่อทุกคนอย่างเป็นธรรม และไม่เลือกที่รักมักที่ชัง,
,,M,FALSE,Uses his/her knowledge base to broaden the range of problem-solving options for direct reports to take.,,Mid-level/Senior Managers,ใช้ความรู้และประสบการณ์ที่มี ช่วยขยายมุมมองและเพิ่มทางเลือกในการแก้ปัญหาให้กับลูกน้อง,
,,M,FALSE,"In implementing a change, explains, answers questions, and patiently listens to concerns.",,Mid-level/Senior Managers,เมื่อต้องลงมือเปลี่ยนแปลงอะไรสักอย่าง จะอธิบาย ตอบคำถาม และรับฟังข้อกังวลอย่างอดทน,
,,M,FALSE,Interacts with staff in a way that results in the staff feeling motivated.,,Mid-level/Senior Managers,มีศิลปะในการเข้าหาลูกน้อง ทำให้ทีมงานรู้สึกมีแรงจูงใจและมีไฟในการทำงาน,
,,M,FALSE,Actively promotes his/her direct reports to senior management.,,Mid-level/Senior Managers,ผลักดันและนำเสนอศักยภาพของลูกน้องให้ผู้บริหารระดับสูงเห็นความสามารถอยู่เสมอ,
,,M,FALSE,Develops employees by providing challenge and opportunity.,,Mid-level/Senior Managers,พัฒนาศักยภาพพนักงานโดยการมอบหมายงานที่ท้าทายและสร้างโอกาสใหม่ ๆ,
,,M,FALSE,Sets a challenging climate to encourage individual growth.,,Mid-level/Senior Managers,สร้างสภาพแวดล้อมการทำงานที่ท้าทาย เพื่อกระตุ้นให้พนักงานเกิดการพัฒนาตัวเอง,
,,M,FALSE,Rewards hard work and dedication to excellence.,,Mid-level/Senior Managers,ให้รางวัลคนที่มีความทุ่มเทและมุ่งมั่นที่จะทำงานให้ดีเยี่ยม,
,,M,FALSE,Surrounds him/herself with the best people.,,Mid-level/Senior Managers,เลือกทำงานและรายล้อมตัวเองด้วยคนที่มีศักยภาพสูง,
,,M,FALSE,Finds and attracts highly talented and productive people.,,Mid-level/Senior Managers,สรรหาและดึงดูดคนเก่งที่มีศักยภาพเข้ามาร่วมงาน,
,Confronting Problem Employees,M,FALSE,Can deal effectively with resistant employees.,Both (TBC),Both (TBC),รับมือกับพนักงานที่มีท่าทีต่อต้านได้อย่างมีประสิทธิภาพ,
,,M,FALSE,"Acts decisively when faced with a tough decision such as laying off workers, even though it hurts him/her personally.",,Both (TBC),ตัดสินใจอย่างเด็ดขาดในเรื่องยาก ๆ เช่น การเลิกจ้าง แม้จะรู้สึกลำบากใจเป็นการส่วนตัว,
,,M,FALSE,Moves quickly in confronting a problem employee.,,Both (TBC),ดำเนินการกับพนักงานที่มีปัญหาอย่างทันท่วงที,
,,M,FALSE,Is able to fire or deal firmly with loyal but incompetent people without procrastinating.,,Both (TBC),กล้าให้ออกหรือจัดการกับคนที่ภักดี แต่ไม่มีความสามารถ โดยไม่ผัดวันประกันพรุ่ง,
,,M,FALSE,Correctly identifies potential performance problems early.,,Both (TBC),มองเห็นได้ตั้งแต่เนิ่น ๆ ว่าพนักงานกำลังจะมีปัญหาเรื่องการทำงาน,
,,M,FALSE,Appropriately documents employee performance problems.,,Both (TBC),บันทึกปัญหาการทำงานของพนักงานเป็นลายลักษณ์อักษรอย่างเหมาะสม,
,Forging Synergy,E,FALSE,"Focuses others' energy on common goals, priorities, and problems.",Executive,Executive,ระดมพลังของทุกคนให้มุ่งไปที่เป้าหมายและลำดับความสำคัญเดียวกัน,
,,E,FALSE,Helps direct reports resolve their conflicts constructively.,,Executive,ช่วยให้ลูกน้องหาทางออกและแก้ไขความขัดแย้งได้อย่างสร้างสรรค์,
,,E,FALSE,Seeks common ground in an effort to resolve conflicts.,,Executive,พยายามแสวงหาจุดร่วม (Common Ground) เพื่อยุติความขัดแย้งที่เกิดขึ้น,
,,E,FALSE,Works harmoniously with key stakeholders.,,Executive,ทำงานร่วมกับฝ่ายที่เกี่ยวข้องและผู้มีส่วนได้ส่วนเสียคนสำคัญ ได้อย่างราบรื่น,
,,E,FALSE,Identifies and removes barriers to effective teamwork.,,Executive,ระบุและขจัดอุปสรรคที่ขัดขวางการทำงานเป็นทีม,
,,E,FALSE,"Maintains smooth, effective working relationships.",,Executive,รักษาความสัมพันธ์ในการทำงานที่ดีและราบรื่นกับทุกฝ่าย,
,Participative Management,M,FALSE,Uses effective listening skills to gain clarification from others.,Both (TBC),Both (TBC),ใช้ทักษะการฟังที่ดีเพื่อทำความเข้าใจผู้อื่นให้ชัดเจน,
,,M,FALSE,Is open to the input of others.,,Both (TBC),เปิดรับความคิดเห็นและมุมมองจากผู้อื่นเสมอ,
,,M,FALSE,Encourages direct reports to share.,,Both (TBC),ส่งเสริมให้ลูกน้องกล้าแสดงความคิดเห็น,
,,M,FALSE,Involves others in the beginning stages of an initiative.,,Both (TBC),ให้คนในทีมมีส่วนร่วมตั้งแต่ช่วงเริ่มต้นโครงการ,
,,M,FALSE,Gains commitment of others before implementing changes.,,Both (TBC),ทำให้ทุกคนเห็นพ้องและพร้อมใจร่วมกัน ก่อนจะลงมือเปลี่ยนแปลงอะไรสักอย่าง,
,,M,FALSE,Listens to individuals at all levels in the organization.,,Both (TBC),รับฟังพนักงานทุกระดับในองค์กร,
,,M,FALSE,Keeps individuals informed of future changes that may impact them.,,Both (TBC),แจ้งให้คนในทีมทราบล่วงหน้าเกี่ยวกับการเปลี่ยนแปลงที่อาจกระทบพวกเขา,
,,M,FALSE,Listens to employees both when things are going well and when they are not.,,Both (TBC),รับฟังพนักงานทั้งในยามที่งานราบรื่นและยามมีปัญหา,
,,M,FALSE,Involves others before developing plan of action.,,Both (TBC),ดึงคนที่เกี่ยวข้องเข้ามาร่วมวางแผนตั้งแต่ต้น,
,Building Collaborative Relationships,M,FALSE,Gets things done without creating unnecessary adversarial relationships.,Mid-level/Senior Managers,Mid-level/Senior Managers,ทำงานให้สำเร็จได้โดยไม่สร้างความขัดแย้งหรือศัตรูโดยไม่จำเป็น,
,,M,FALSE,Uses good timing and common sense in negotiating; makes his/her points when the time is ripe and does it diplomatically.,,Mid-level/Senior Managers,มีจังหวะและไหวพริบในการเจรจาต่อรอง (พูดถูกที่ ถูกเวลา และนุ่มนวล),
,,M,FALSE,"When working with a group over whom he/she has no control, gets things done by finding common ground.",,Mid-level/Senior Managers,เมื่อต้องทำงานกับกลุ่มคนที่ไม่ได้มีอำนาจสั่งการ สามารถหาทางที่ทุกฝ่ายพอใจ เพื่อผลักดันงานให้สำเร็จได้,
,,M,FALSE,"When working with peers from other functions or units, gains their cooperation and support.",,Mid-level/Senior Managers,ได้รับความร่วมมือและการสนับสนุนเมื่อทำงานร่วมกับเพื่อนร่วมงานต่างแผนก,
,,M,FALSE,Tries to understand what other people think before making judgments about them.,,Mid-level/Senior Managers,พยายามทำความเข้าใจมุมมองของคนอื่นก่อนที่จะตัดสินใคร,
,,M,FALSE,Quickly gains trust and respect from his/her customers.,,Mid-level/Senior Managers,สร้างความไว้วางใจและการยอมรับจากลูกค้าได้อย่างรวดเร็ว,
,,M,FALSE,Can settle problems with external groups without alienating them.,,Mid-level/Senior Managers,แก้ปัญหากับคนภายนอกองค์กรได้โดยไม่ให้เกิดความบาดหมาง,
,Communicating Effectively,E,FALSE,Expresses ideas fluently and eloquently.,Both (TBC),Both (TBC),ถ่ายทอดความคิดได้อย่างลื่นไหลและมีวาทศิลป์,
,,E,FALSE,Prevents unpleasant surprises by communicating important information.,,Both (TBC),สื่อสารข้อมูลสำคัญอย่างสม่ำเสมอ ไม่มีเรื่องให้เซอร์ไพรส์,
,,E,FALSE,Encourages direct and open discussions about important issues.,,Both (TBC),ส่งเสริมให้มีการพูดคุยเรื่องสำคัญกันอย่างเปิดเผยและตรงไปตรงมา,
,,E,FALSE,Writes clearly and concisely.,,Both (TBC),เขียนสื่อสารได้กระชับ ชัดเจน,
,,E,FALSE,Conveys ideas through lively examples and images.,,Both (TBC),ถ่ายทอดไอเดียได้ชัดเจน ผ่านการยกตัวอย่างและเปรียบเทียบให้เห็นภาพ,
,,E,FALSE,Clearly articulates even the most complex concepts.,,Both (TBC),สามารถอธิบายแนวคิดที่ซับซ้อนให้เข้าใจง่ายและชัดเจน,
,Interpersonal Savvy,E,FALSE,"Tailors communication based on other's needs, motivations, and agendas.",Executive,Executive,เลือกวิธีสื่อสารที่เข้ากับความต้องการและแรงจูงใจของผู้ฟัง,
,,E,FALSE,Understands own impact on situations and people.,,Executive,รู้ตัวว่าสิ่งที่ทำและพูดส่งผลต่อคนรอบข้างและสถานการณ์อย่างไร,
,,E,FALSE,Influences others without using formal authority.,,Executive,สามารถโน้มน้าวผู้อื่นได้โดยไม่ต้องใช้อำนาจสั่งการ,
,,E,FALSE,Knows when and with whom to build alliances.,,Executive,รู้ว่าควรสร้างพันธมิตรกับใครและเมื่อไหร่,
,,E,FALSE,Wins concessions from others without harming relationships.,,Executive,เจรจาต่อรองให้ได้สิ่งที่ต้องการโดยไม่ทำลายความสัมพันธ์,
,,E,FALSE,Adjusts leadership style according to the demands of the situation.,,Executive,ปรับสไตล์การเป็นผู้นำให้เหมาะกับสถานการณ์,
,,E,FALSE,Accurately senses when to give and take when negotiating.,,Executive,มีเซนส์ที่แม่นยำว่าควรเป็นฝ่ายรุกหรือฝ่ายรับในการเจรจาต่อรอง,
,Compassion and Sensitivity,M,FALSE,Is sensitive to signs of overwork in others.,Mid-level/Senior Managers,Mid-level/Senior Managers,สังเกตเห็นเมื่อคนในทีมเริ่มทำงานหนักเกินไป,
,,M,FALSE,Is willing to help an employee with personal problems.,,Mid-level/Senior Managers,เต็มใจช่วยเหลือพนักงานเมื่อเขามีปัญหาส่วนตัว,
,,M,FALSE,Is calm and patient when other people have to miss work due to sick days.,,Mid-level/Senior Managers,ใจเย็นและเข้าใจเมื่อพนักงานจำเป็นต้องลางานเนื่องจากอาการเจ็บป่วย,
,,M,FALSE,Allows new people in a job sufficient time to learn.,,Mid-level/Senior Managers,ให้เวลาพนักงานใหม่ได้เรียนรู้งานอย่างเพียงพอ,
,,M,FALSE,Helps people learn from their mistakes.,,Mid-level/Senior Managers,ช่วยให้คนในทีมเรียนรู้จากความผิดพลาด,
,,M,FALSE,Conveys compassion toward them when other people disclose a personal loss.,,Mid-level/Senior Managers,แสดงความเห็นใจเมื่อผู้อื่นสูญเสียหรือมีเรื่องกระทบจิตใจ,
,Putting People at Ease,M,FALSE,Has a pleasant disposition.,Mid-level/Senior Managers,Mid-level/Senior Managers,มีอัธยาศัยดี,
,,M,FALSE,Has a good sense of humor.,,Mid-level/Senior Managers,มีอารมณ์ขัน,
,,M,FALSE,Has personal warmth.,,Mid-level/Senior Managers,มีความอบอุ่น เป็นมิตร,
,Respect for Differences,M,FALSE,"Understands and respects cultural, religious, gender, and racial differences.",No,No,,
,,M,FALSE,Treats people of all backgrounds fairly.,,No,,
,,M,FALSE,Values working with a diverse group of people.,,No,,
,,M,FALSE,Is comfortable managing people from different racial or cultural backgrounds.,,No,,
Leading Yourself,Courage,E,FALSE,Takes the lead on unpopular though necessary actions.,Both (TBC),Both (TBC),กล้าเป็นผู้นำในการทำสิ่งที่จำเป็น แม้สิ่งนั้นอาจจะไม่ถูกใจคนส่วนใหญ่ก็ตาม,
,,E,FALSE,Acts decisively to tackle difficult problems.,,Both (TBC),จัดการกับปัญหายาก ๆ อย่างเด็ดขาด,
,,E,FALSE,Perseveres in the face of problems and difficulties.,,Both (TBC),มีความเพียรพยายาม ไม่ย่อท้อต่อปัญหาและอุปสรรค,
,,E,FALSE,Confronts conflicts promptly so they do not escalate.,,Both (TBC),รีบจัดการความขัดแย้งทันทีเพื่อไม่ให้ปัญหาบานปลาย,
,,E,FALSE,Has the courage to confront others when necessary.,,Both (TBC),มีความกล้าที่จะเผชิญหน้ากับผู้อื่นเมื่อถึงคราวจำเป็น,
,Taking Initiative,M,FALSE,Is prepared to seize opportunities when they arise.,Mid-level/Senior Managers,Mid-level/Senior Managers,เตรียมพร้อมและคว้าโอกาสที่ผ่านเข้ามาเสมอ,
,,M,FALSE,Would respond to a boss who provided autonomy by working hard to develop his/her skills.,,Mid-level/Senior Managers,เมื่อหัวหน้าไว้ใจให้ทำงานเอง จะใช้โอกาสนั้นทำงานอย่างหนักและพัฒนาทักษะของตนเอง,
,,M,FALSE,Takes charge when trouble comes.,,Mid-level/Senior Managers,กล้ารับผิดชอบและเข้าควบคุมสถานการณ์เมื่อเกิดปัญหา,
,,M,FALSE,Is creative or innovative.,,Mid-level/Senior Managers,มีความคิดริเริ่มสร้างสรรค์และชอบนำเสนอนวัตกรรมใหม่ ๆ,
,,M,FALSE,Can effectively lead an operation from its inception through completion.,,Mid-level/Senior Managers,สามารถนำทีมดำเนินงานตั้งแต่เริ่มต้นจนสำเร็จได้อย่างมีประสิทธิภาพ,
,Executive Image,E,FALSE,Communicates confidence and steadiness during difficult times.,Executive,Executive,สื่อสารด้วยความมั่นใจและหนักแน่น แม้ในช่วงเวลาที่ยากลำบาก,
,,E,FALSE,Projects confidence and poise.,,Executive,แสดงออกถึงความมั่นใจและความสุขุม,
,,E,FALSE,Adapts readily to new situations.,,Executive,พร้อมปรับตัวเข้ากับสถานการณ์ใหม่ ๆ ได้อย่างรวดเร็ว,
,,E,FALSE,Commands attention and respect.,,Executive,สามารถดึงดูดความสนใจและสร้างความเคารพนับถือจากคนรอบข้าง,
,,E,FALSE,Accepts setbacks with grace.,,Executive,ยอมรับความล้มเหลวได้อย่างสง่างาม,
,Composure,M,FALSE,Does not become hostile or moody when things are not going his/her way.,Mid-level/Senior Managers,Mid-level/Senior Managers,ไม่แสดงท่าทีก้าวร้าวหรือหงุดหงิดเมื่อไม่ได้ดั่งใจ,
,,M,FALSE,Does not blame others or situations for his/her mistakes.,,Mid-level/Senior Managers,ไม่โทษคนอื่นหรือสถานการณ์รอบข้างเมื่อตนเองทำพลาด,
,,M,FALSE,Contributes more to solving organizational problems than to complaining about them.,,Mid-level/Senior Managers,เน้นการช่วยหาทางออกให้กับปัญหา มากกว่าการเอาแต่บ่น,
,,M,FALSE,Remains calm when crises occur.,,Mid-level/Senior Managers,รักษาความสงบและมีสติได้ดีเมื่อเกิดวิกฤต,
,Balance Between Personal and Work Life,M,FALSE,Acts as if there is more to life than just having a career.,Both (TBC),Both (TBC),ใช้ชีวิตโดยตระหนักว่าชีวิตมีอะไรมากกว่าแค่เรื่องงาน,
,,M,FALSE,Has activities and interests outside of career.,,Both (TBC),มีกิจกรรมและความสนใจอื่น ๆ นอกเหนือจากงาน,
,,M,FALSE,Does not take career so seriously that his/her personal life suffers.,,Both (TBC),ไม่จริงจังกับงานมากเกินไปจนทำให้ชีวิตส่วนตัวพัง,
,Learning from Experience,E,FALSE,Reflects on and learns from experience.,Executive,Executive,ทบทวนและเรียนรู้จากประสบการณ์,
,,E,FALSE,Accepts responsibility for his or her problems.,,Executive,รับผิดชอบต่อปัญหาของตัวเอง,
,,E,FALSE,Understands own weaknesses and how to compensate for them.,,Executive,เข้าใจจุดอ่อนของตนเองและรู้วิธีจัดการกับจุดอ่อนนั้น,
,,E,FALSE,Seeks candid feedback on his or her performance.,,Executive,แสวงหาคำติชม (Feedback) ที่ตรงไปตรงมาเกี่ยวกับผลงานของตนเอง,
,,E,FALSE,Changes behavior in response to feedback.,,Executive,ปรับเปลี่ยนพฤติกรรมตามคำแนะนำที่ได้รับ,
,Self-awareness,M,FALSE,"Admits personal mistakes, learns from them, and moves on to correct the situation.",Mid-level/Senior Managers,Mid-level/Senior Managers,ยอมรับความผิดพลาด เรียนรู้จากมัน และลงมือแก้ไขสถานการณ์,
,,M,FALSE,Does an honest self-assessment.,,Mid-level/Senior Managers,ประเมินศักยภาพตัวเองตามความเป็นจริง,
,,M,FALSE,Seeks corrective feedback to improve him/herself.,,Mid-level/Senior Managers,แสวงหาคำแนะนำเพื่อนำมาปรับปรุงและพัฒนาตัวเองให้ดีขึ้น,
,,M,FALSE,"Sorts out his/her strengths and weaknesses fairly accurately (i.e., knows him/herself).",,Mid-level/Senior Managers,รู้จักจุดแข็งและจุดอ่อนของตนเองได้อย่างแม่นยำ,
,Credibility,E,FALSE,Uses ethical considerations to guide decisions.,Executive,Executive,ยึดมั่นในจริยธรรมและความถูกต้องในการตัดสินใจ,
,,E,FALSE,Through words and deeds encourages honesty throughout the organization.,,Executive,ส่งเสริมความซื่อสัตย์ทั่วทั้งองค์กรผ่านคำพูดและการกระทำ,
,,E,FALSE,Speaks candidly about tough issues facing the organization.,,Executive,กล้าพูดถึงปัญหาที่ยากลำบากขององค์กรอย่างตรงไปตรงมา,
,,E,FALSE,"Tells the truth, not just what important constituents want to hear.",,Executive,พูดความจริง ไม่ใช่เลือกพูดแต่สิ่งที่คนอยากฟัง,
,,E,FALSE,Can be trusted to maintain confidentiality.,,Executive,รักษาความลับได้ดีและเป็นคนที่ไว้วางใจได้,
,,E,FALSE,Places ethical behavior above personal gain.,,Executive,เห็นแก่ความถูกต้องทางจริยธรรมมากกว่าผลประโยชน์ส่วนตน,
,,E,FALSE,Follows through on promises.,,Executive,รักษาคำพูดและทำตามที่รับปากไว้,
,,E,FALSE,Acts in accordance with his or her stated values.,,Executive,ปฏิบัติตนตามค่านิยมที่ตนเองยึดถือ,
,Career Management,M,FALSE,Understands the value of a good mentoring relationship.,Mid-level/Senior Managers,Mid-level/Senior Managers,เข้าใจถึงคุณค่าของการมีความสัมพันธ์แบบพี่เลี้ยง (Mentor) ที่ดี,Relationship
,,M,FALSE,Effectively builds and maintains feedback channels.,,Mid-level/Senior Managers,สร้างและรักษาช่องทางการสื่อสารเพื่อรับฟัง Feedback อย่างมีประสิทธิภาพ,
,,M,FALSE,Responds to feedback from direct reports.,,Mid-level/Senior Managers,ตอบสนองต่อคำติชมจากลูกน้องได้ดี,
,,M,FALSE,Actively cultivates a good relationship with superior.,,Mid-level/Senior Managers,สร้างความสัมพันธ์ที่ดีกับหัวหน้างานอย่างสม่ำเสมอ,
